decade,n_records,mean_sst,sst_diff_from_baseline,mean_deltaT,deltaT_diff_from_baseline,p_value,significantly_different
1940,20,300.46153869628904,-0.30342046564277325,-2.5526837944984435,-0.3737373753027482,0.3501321584806617,False
1950,20,300.2495407104492,-0.515418451482617,-2.3811346709728243,-0.20218825177712896,0.09859814833598844,False
1960,20,300.6736541748047,-0.09130498712710278,-2.4212648451328276,-0.24231842593713226,0.78181292742492,False
1970,20,300.3998428344727,-0.365116327459134,-2.2959115505218506,-0.11696513132615527,0.2459213418778352,False
1980,20,300.32353515625,-0.4414240056818244,-2.154196161031723,0.02475025816397247,0.21796109557024917,False
1990,20,300.3903518676758,-0.374607294256009,-2.100657218694687,0.07828920050100852,0.24075270567363008,False
2000,20,300.6771606445312,-0.08779851740058575,-2.205013692378998,-0.026067273183302486,0.7671362828200902,False
2010,20,300.57516021728514,-0.18979894464666813,-2.190762346982956,-0.011815927787260705,0.5393982302400029,False
2020,12,300.8942362467448,0.1292770848129976,-2.236255486806234,-0.057309067610538555,0.7220014011212643,False
