year,month,duct_height_m
1940,01,8.682412060301509
1940,07,20.12537688442211
1941,01,11.292211055276383
1941,07,20.526884422110555
1942,01,13.500502512562814
1942,07,19.723869346733668
1943,01,5.269597989949749
1943,07,17.314824120603017
1944,01,13.299748743718594
1944,07,11.693718592964824
1945,01,18.720100502512565
1945,07,19.723869346733668
1946,01,13.902010050251258
1946,07,14.3035175879397
1947,01,7.678643216080402
1947,07,10.89070351758794
1948,01,17.314824120603017
1948,07,14.3035175879397
1949,01,13.299748743718594
1949,07,12.69748743718593
1950,01,12.49673366834171
1950,07,15.307286432160804
1951,01,10.89070351758794
1951,07,19.52311557788945
1952,01,15.307286432160804
1952,07,18.1178391959799
1953,01,18.920854271356784
1953,07,17.114070351758794
1954,01,23.13668341708543
1954,07,14.3035175879397
1955,01,9.686180904522613
1955,07,14.905778894472363
1956,01,11.492964824120603
1956,07,15.508040201005025
1957,01,11.492964824120603
1957,07,16.712562814070353
1958,01,12.295979899497489
1958,07,15.307286432160804
1959,01,13.098994974874373
1959,07,20.326130653266333
1960,01,16.712562814070353
1960,07,22.735175879396987
1961,01,11.894472361809045
1961,07,14.905778894472363
1962,01,19.121608040201007
1962,07,9.686180904522613
1963,01,10.489195979899499
1963,07,12.898241206030152
1964,01,12.49673366834171
1964,07,14.705025125628142
1965,01,9.686180904522613
1965,07,17.515577889447236
1966,01,14.50427135678392
1966,07,15.909547738693469
1967,01,14.705025125628142
1967,07,17.114070351758794
1968,01,11.292211055276383
1968,07,8.88316582914573
1969,01,11.091457286432162
1969,07,13.500502512562814
1970,01,12.095226130653268
1970,07,19.52311557788945
1971,01,15.106532663316584
1971,07,18.519346733668343
1972,01,16.712562814070353
1972,07,17.71633165829146
1973,01,15.708793969849248
1973,07,13.701256281407035
1974,01,11.492964824120603
1974,07,10.68994974874372
1975,01,15.106532663316584
1975,07,18.31859296482412
1976,01,9.485427135678393
1976,07,14.905778894472363
1977,01,11.894472361809045
1977,07,17.71633165829146
1978,01,17.917085427135678
1978,07,8.88316582914573
1979,01,13.299748743718594
1979,07,19.121608040201007
1980,01,8.682412060301509
1980,07,15.909547738693469
1981,01,10.288442211055278
1981,07,14.50427135678392
1982,01,10.087688442211055
1982,07,12.49673366834171
1983,01,16.31105527638191
1983,07,13.299748743718594
1984,01,16.51180904522613
1984,07,10.288442211055278
1985,01,17.71633165829146
1985,07,17.515577889447236
1986,01,17.114070351758794
1986,07,16.110301507537688
1987,01,11.091457286432162
1987,07,13.299748743718594
1988,01,10.489195979899499
1988,07,13.902010050251258
1989,01,11.693718592964824
1989,07,18.31859296482412
1990,01,14.102763819095479
1990,07,19.92462311557789
1991,01,14.50427135678392
1991,07,11.894472361809045
1992,01,20.727638190954774
1992,07,13.701256281407035
1993,01,8.481658291457288
1993,07,7.678643216080402
1994,01,9.08391959798995
1994,07,15.909547738693469
1995,01,13.098994974874373
1995,07,18.31859296482412
1996,01,9.886934673366834
1996,07,12.898241206030152
1997,01,12.69748743718593
1997,07,10.489195979899499
1998,01,11.091457286432162
1998,07,26.951005025125628
1999,01,11.693718592964824
1999,07,18.720100502512565
2000,01,11.292211055276383
2000,07,13.098994974874373
2001,01,14.3035175879397
2001,07,12.69748743718593
2002,01,14.3035175879397
2002,07,19.92462311557789
2003,01,15.106532663316584
2003,07,13.098994974874373
2004,01,15.508040201005025
2004,07,19.52311557788945
2005,01,14.50427135678392
2005,07,18.1178391959799
2006,01,10.68994974874372
2006,07,11.292211055276383
2007,01,15.708793969849248
2007,07,16.913316582914575
2008,01,16.712562814070353
2008,07,16.51180904522613
2009,01,16.51180904522613
2009,07,11.894472361809045
2010,01,12.49673366834171
2010,07,14.102763819095479
2011,01,19.121608040201007
2011,07,13.902010050251258
2012,01,21.32989949748744
2012,07,7.477889447236181
2013,01,12.295979899497489
2013,07,17.515577889447236
2014,01,12.898241206030152
2014,07,17.71633165829146
2015,01,12.898241206030152
2015,07,12.295979899497489
2016,01,13.299748743718594
2016,07,12.295979899497489
2017,01,8.682412060301509
2017,07,15.708793969849248
2018,01,10.288442211055278
2018,07,12.295979899497489
2019,01,12.095226130653268
2019,07,13.299748743718594
2020,01,10.288442211055278
2020,07,11.492964824120603
2021,01,11.091457286432162
2021,07,18.920854271356784
2022,01,10.89070351758794
2022,07,19.52311557788945
2023,01,16.712562814070353
2023,07,15.909547738693469
2024,01,13.098994974874373
2024,07,25.54572864321608
2025,01,10.489195979899499
2025,07,17.114070351758794
